#Scores
#Start	End	Score
1	31	0.41374
1	10	0.276687
1	28	0.283587
1	29	0.374494
1	33	0.463135
1	17	0.531863
1	34	0.49409
1	26	0.325087
1	25	0.325087
1	24	0.174602
1	15	0.160627
1	16	0.160627
1	19	0.160627
1	21	0.160627
1	23	0.160627
1	30	0.166422
1	27	0.151821
2	5	0.228437
2	6	0.238718
2	7	0.238718
2	9	0.386503
2	11	0.228437
2	12	0.162023
2	13	0.329791
2	22	0.162023
2	32	0.199086
2	10	0.242683
2	28	0.250673
2	29	0.250673
2	33	0.429391
2	17	0.167059
2	34	0.478226
2	26	0.139524
2	25	0.139524
2	24	0.148852
2	15	0.135153
2	16	0.135153
2	19	0.135153
2	21	0.135153
2	23	0.135153
2	30	0.143647
2	27	0.129298
3	4	0.510936
3	5	0.228497
3	6	0.23849
3	7	0.23849
3	11	0.228497
3	12	0.163735
3	13	0.200146
3	18	0.264535
3	20	0.273544
3	22	0.163735
3	32	0.36021
3	31	0.429875
3	17	0.168496
3	34	0.610644
3	26	0.147969
3	25	0.147969
3	24	0.354112
3	15	0.236097
3	16	0.236097
3	19	0.236097
3	21	0.236097
3	23	0.236097
3	30	0.168374
3	27	0.151485
4	5	0.205619
4	6	0.216427
4	7	0.216427
4	9	0.188545
4	11	0.205619
4	12	0.141122
4	18	0.245168
4	20	0.255054
4	22	0.141122
4	32	0.180936
4	31	0.257587
4	10	0.12668
4	28	0.135863
4	29	0.135863
4	33	0.182409
4	17	0.148243
4	34	0.322968
4	26	0.123568
4	25	0.123568
4	24	0.124323
4	15	0.105516
4	16	0.105516
4	19	0.105516
4	21	0.105516
4	23	0.105516
4	30	0.124966
4	27	0.111276
5	6	0.452826
5	8	0.185892
5	9	0.165962
5	12	0.118018
5	13	0.152289
5	14	0.194458
5	18	0.146265
5	20	0.158806
5	22	0.118018
5	32	0.160371
5	31	0.12857
5	10	0.108291
5	28	0.117873
5	29	0.117873
5	33	0.163397
5	17	0.319455
5	34	0.164869
5	26	0.106181
5	25	0.106181
5	24	0.0953859
5	15	0.0845822
5	16	0.0845822
5	19	0.0845822
5	21	0.0845822
5	23	0.0845822
5	30	0.0916412
5	27	0.080683
6	8	0.196577
6	9	0.1758
6	12	0.128788
6	13	0.16337
6	14	0.204863
6	18	0.157005
6	20	0.169078
6	22	0.128788
6	32	0.169415
6	31	0.136627
6	10	0.116698
6	28	0.125971
6	29	0.125971
6	33	0.171314
6	34	0.171848
6	26	0.114449
6	25	0.114449
6	24	0.102152
6	15	0.0913716
6	16	0.0913716
6	19	0.0913716
6	21	0.0913716
6	23	0.0913716
6	30	0.0981757
6	27	0.0871946
7	8	0.196577
7	9	0.1758
7	11	0.452826
7	12	0.128788
7	13	0.16337
7	14	0.204863
7	18	0.157005
7	20	0.169078
7	22	0.128788
7	32	0.169415
7	31	0.136627
7	10	0.116698
7	28	0.125971
7	29	0.125971
7	33	0.171314
7	34	0.171848
7	26	0.114449
7	25	0.114449
7	24	0.102152
7	15	0.0913716
7	16	0.0913716
7	19	0.0913716
7	21	0.0913716
7	23	0.0913716
7	30	0.0981757
7	27	0.0871946
8	9	0.229547
8	11	0.185892
8	12	0.126048
8	13	0.282404
8	14	0.421393
8	18	0.228983
8	20	0.237666
8	22	0.126048
8	32	0.166197
8	31	0.244028
8	10	0.199873
8	28	0.208758
8	29	0.208758
8	33	0.268997
8	17	0.134348
8	34	0.187955
8	26	0.112599
8	25	0.112599
8	24	0.11993
8	15	0.107077
8	16	0.107077
8	19	0.107077
8	21	0.107077
8	23	0.107077
8	30	0.105862
8	27	0.0938922
9	11	0.165962
9	12	0.113973
9	13	0.143282
9	14	0.235781
9	18	0.138362
9	20	0.149472
9	22	0.113973
9	32	0.154431
9	10	0.197774
9	28	0.20663
9	29	0.20663
9	17	0.122579
9	34	0.471229
9	26	0.105744
9	25	0.105744
9	24	0.14476
9	15	0.214716
9	16	0.214716
9	19	0.214716
9	21	0.214716
9	23	0.214716
9	30	0.145687
9	27	0.128305
11	12	0.118018
11	13	0.152289
11	14	0.194458
